id,Name2,Name3,road_id,cluster,label
0,114.2544978,30.61667094.png,1,0,2
1,114.2542005,30.61753509.png,1,2,2
2,114.2967681,30.61929623.png,2,1,3
3,114.2976371,30.61879822.png,2,3,3
4,114.2985062,30.61830021.png,2,0,3
5,114.2993752,30.61780219.png,2,0,3
6,114.3002442,30.61730416.png,2,2,3
7,114.3011132,30.61680613.png,2,1,3
8,114.301982,30.61630779.png,2,0,3
9,114.3028496,30.61580797.png,2,1,3
10,114.3037173,30.61530813.png,2,2,3
11,114.1560393,30.6182774.png,3,3,2
12,114.1555112,30.61750029.png,3,1,2
13,114.1550579,30.61668852.png,3,3,2
14,114.1546891,30.61584714.png,3,2,2
15,114.1544525,30.61496953.png,3,1,2
16,114.1542956,30.6140796.png,3,3,2
17,114.1542376,30.6131798.png,3,2,2
18,114.1542966,30.61228027.png,3,2,2
19,114.1544425,30.61138811.png,3,0,2
20,114.1547133,30.61051752.png,3,3,2
21,114.1550853,30.60967656.png,3,0,2
22,114.1555392,30.6088682.png,3,3,2
23,114.1560879,30.60810166.png,3,0,2
24,114.1567111,30.60738092.png,3,0,2
25,114.1574176,30.60671931.png,3,3,2
27,114.3551588,30.53904589.png,4,0,2
28,114.360126,30.53353128.png,5,3,3
29,114.3597549,30.53268922.png,5,2,3
30,114.2999617,30.51305381.png,6,3,3
31,114.2994526,30.51229099.png,6,2,3
32,114.2991019,30.5114472.png,6,0,3
33,114.2989824,30.5105618.png,6,3,3
34,114.2986763,30.50969999.png,6,1,3
35,114.2984891,30.50866302.png,7,0,3
36,114.2587665,30.57720048.png,8,1,3
37,114.2574754,30.57669582.png,9,3,1
38,114.2548992,30.57600141.png,10,3,1
39,114.2538931,30.57576663.png,10,1,1
40,114.2528869,30.5755325.png,10,2,1
41,114.2518798,30.57530105.png,10,2,1
42,114.2508727,30.5750696.png,10,2,1
43,114.2498601,30.57485741.png,10,1,1
44,114.2488415,30.57466823.png,10,1,1
45,114.3540808,30.61605954.png,11,2,3
46,114.3533114,30.61545108.png,11,2,3
47,114.3525408,30.61484385.png,11,3,3
48,114.3517554,30.61425092.png,11,2,3
49,114.3509793,30.61364907.png,11,1,3
50,114.3502054,30.61304498.png,11,2,3
51,114.3494331,30.61243934.png,11,1,3
53,114.347873,30.61124338.png,11,2,3
54,114.2279264,30.50539268.png,12,0,1
55,114.2275043,30.50456858.png,12,2,1
56,114.2271121,30.50373339.png,12,0,1
57,114.2267039,30.50290421.png,12,1,1
58,114.2262101,30.50211061.png,12,2,1
59,114.2256429,30.50135493.png,12,2,1
60,114.2250077,30.50064262.png,12,0,1
61,114.2244031,30.49990859.png,12,0,1
62,114.2237985,30.49917456.png,12,2,1
63,114.2814817,30.61275571.png,13,3,1
64,114.2823747,30.61229061.png,13,3,1
65,114.2835882,30.6117061.png,14,0,1
66,114.2844888,30.61125204.png,14,1,1
67,114.2854452,30.61076984.png,16,0,2
68,114.2863457,30.61031578.png,16,3,2
69,114.2872463,30.6098617.png,16,1,2
70,114.2881469,30.60940763.png,16,3,2
71,114.28938,30.60879453.png,17,2,3
72,114.2902845,30.60834646.png,17,3,3
73,114.2911891,30.60789838.png,17,0,3
74,114.2920936,30.6074503.png,17,3,3
75,114.2929981,30.6070022.png,17,1,3
76,114.2947295,30.60613568.png,18,1,1
77,114.2956296,30.60568096.png,18,2,1
78,114.2965297,30.60522623.png,18,1,1
79,114.1907625,30.61231153.png,19,2,1
80,114.1917938,30.61218057.png,19,3,1
81,114.1979351,30.61149149.png,20,2,2
82,114.1989665,30.61136107.png,20,2,2
83,114.199998,30.61123103.png,20,3,2
84,114.2017225,30.61101412.png,22,1,2
85,114.202754,30.61088438.png,22,1,2
86,114.2037855,30.61075462.png,22,3,2
87,114.2146179,30.56741476.png,24,2,3
88,114.2136154,30.56766021.png,24,2,3
89,114.2126129,30.56790566.png,24,0,3
90,114.2116103,30.5681511.png,24,3,3
91,114.2105762,30.56812927.png,24,2,3
92,114.209537,30.5680643.png,24,0,3
93,114.2084978,30.56799933.png,24,1,3
94,114.2068302,30.56790911.png,25,0,3
95,114.2051542,30.56814158.png,26,3,2
96,114.2041528,30.56839035.png,26,2,2
97,114.2031564,30.56865365.png,26,0,2
98,114.2021643,30.56892915.png,26,2,2
99,114.200683,30.56934247.png,27,3,1
100,114.1996916,30.56961974.png,27,0,1
101,114.197772,30.57016288.png,28,2,1
102,114.1960828,30.57065208.png,29,3,2
103,114.1951075,30.57096907.png,29,2,2
104,114.1941341,30.57129071.png,29,3,2
105,114.1931666,30.57162535.png,29,0,2
106,114.1921968,30.57195489.png,29,3,2
107,114.1915152,30.57169972.png,29,3,2
108,114.1911284,30.57086257.png,29,2,2
109,114.1907416,30.57002543.png,29,3,2
110,114.1903548,30.56918828.png,29,1,2
111,114.2062504,30.54879138.png,30,2,2
112,114.2067338,30.5495856.png,30,0,2
113,114.2073167,30.55033284.png,30,3,2
114,114.2078995,30.55108009.png,30,0,2
115,114.2084824,30.55182733.png,30,2,2
116,114.2091787,30.55272735.png,31,1,2
117,114.2097576,30.5534769.png,31,3,2
118,114.2103366,30.55422645.png,31,2,2
119,114.2109104,30.55497873.png,31,0,2
120,114.2114438,30.55578608.png,32,2,2
121,114.2121457,30.55706953.png,33,1,3
122,114.2125489,30.55790086.png,33,0,3
123,114.2635592,30.6061141.png,34,0,3
124,114.2645187,30.6064662.png,34,0,3
125,114.2654783,30.60681829.png,34,3,3
126,114.1585823,30.60562624.png,36,0,3
127,114.1592851,30.60496049.png,36,1,3
128,114.1599879,30.60429473.png,36,2,3
129,114.1606907,30.60362896.png,36,1,3
130,114.1613934,30.60296319.png,36,0,3
131,114.1620962,30.60229742.png,36,3,3
132,114.1630859,30.60135106.png,37,2,1
133,114.1637405,30.6006506.png,37,2,1
134,114.1642202,30.5998532.png,37,0,1
135,114.1644212,30.59897306.png,37,3,1
136,114.164409,30.59807381.png,37,3,1
137,114.1642789,30.59717978.png,37,1,1
138,114.1641322,30.5962872.png,37,2,1
139,114.1639871,30.59539445.png,37,3,1
140,114.1638769,30.59449795.png,37,0,1
141,114.1637666,30.59360145.png,37,3,1
142,114.163607,30.59271144.png,37,0,1
